Nike Historical Closing Prices (4.1.2019-3.31.2020),
Date,Close
4/1/2019 16:00:00,85.23
4/2/2019 16:00:00,84.37
4/3/2019 16:00:00,84.47
4/4/2019 16:00:00,85.28
4/5/2019 16:00:00,85.4
4/8/2019 16:00:00,84.73
4/9/2019 16:00:00,84.28
4/10/2019 16:00:00,84.88
4/11/2019 16:00:00,85
4/12/2019 16:00:00,86.24
4/15/2019 16:00:00,86.83
4/16/2019 16:00:00,87.8
4/17/2019 16:00:00,88.73
4/18/2019 16:00:00,89.2
4/22/2019 16:00:00,87.36
4/23/2019 16:00:00,87.43
4/24/2019 16:00:00,88.39
4/25/2019 16:00:00,87.56
4/26/2019 16:00:00,88.31
4/29/2019 16:00:00,88.26
4/30/2019 16:00:00,87.83
5/1/2019 16:00:00,85.9
5/2/2019 16:00:00,85.27
5/3/2019 16:00:00,85.7
5/6/2019 16:00:00,83.57
5/7/2019 16:00:00,82.54
5/8/2019 16:00:00,82.77
5/9/2019 16:00:00,82.98
5/10/2019 16:00:00,83.95
5/13/2019 16:00:00,82.53
5/14/2019 16:00:00,83.67
5/15/2019 16:00:00,84.01
5/16/2019 16:00:00,84.28
5/17/2019 16:00:00,84.57
5/20/2019 16:00:00,82.85
5/21/2019 16:00:00,83.64
5/22/2019 16:00:00,83.2
5/23/2019 16:00:00,82.64
5/24/2019 16:00:00,82.16
5/28/2019 16:00:00,81.2
5/29/2019 16:00:00,78.87
5/30/2019 16:00:00,79.26
5/31/2019 16:00:00,77.14
6/3/2019 16:00:00,77.96
6/4/2019 16:00:00,81.62
6/5/2019 16:00:00,82.72
6/6/2019 16:00:00,82.45
6/7/2019 16:00:00,83.41
6/10/2019 16:00:00,82.58
6/11/2019 16:00:00,83.26
6/12/2019 16:00:00,82.63
6/13/2019 16:00:00,83.61
6/14/2019 16:00:00,83.44
6/17/2019 16:00:00,82.11
6/18/2019 16:00:00,84.3
6/19/2019 16:00:00,83.55
6/20/2019 16:00:00,85.24
6/21/2019 16:00:00,85.75
6/24/2019 16:00:00,84.5
6/25/2019 16:00:00,82.62
6/26/2019 16:00:00,82.55
6/27/2019 16:00:00,83.66
6/28/2019 16:00:00,83.95
7/1/2019 16:00:00,85.41
7/2/2019 16:00:00,84.96
7/3/2019 13:00:00,86.2
7/5/2019 16:00:00,86.82
7/8/2019 16:00:00,88.48
7/9/2019 16:00:00,88.04
7/10/2019 16:00:00,87.44
7/11/2019 16:00:00,88.29
7/12/2019 16:00:00,89.12
7/15/2019 16:00:00,89.48
7/16/2019 16:00:00,88.6
7/17/2019 16:00:00,87.5
7/18/2019 16:00:00,87.44
7/19/2019 16:00:00,86.55
7/22/2019 16:00:00,85.97
7/23/2019 16:00:00,86.7
7/24/2019 16:00:00,86.7
7/25/2019 16:00:00,87.28
7/26/2019 16:00:00,87.54
7/29/2019 16:00:00,87.62
7/30/2019 16:00:00,87.2
7/31/2019 16:00:00,86.03
8/1/2019 16:00:00,83.12
8/2/2019 16:00:00,81.14
8/5/2019 16:00:00,78.97
8/6/2019 16:00:00,81.3
8/7/2019 16:00:00,81.28
8/8/2019 16:00:00,83
8/9/2019 16:00:00,81.98
8/12/2019 16:00:00,81.65
8/13/2019 16:00:00,83.32
8/14/2019 16:00:00,81.03
8/15/2019 16:00:00,79.51
8/16/2019 16:00:00,80.28
8/19/2019 16:00:00,81.13
8/20/2019 16:00:00,80.53
8/21/2019 16:00:00,82.74
8/22/2019 16:00:00,83.31
8/23/2019 16:00:00,80.44
8/26/2019 16:00:00,82.25
8/27/2019 16:00:00,82.03
8/28/2019 16:00:00,83.48
8/29/2019 16:00:00,85.38
8/30/2019 16:00:00,84.5
9/3/2019 16:00:00,84.67
9/4/2019 16:00:00,86.35
9/5/2019 16:00:00,88.42
9/6/2019 16:00:00,88.69
9/9/2019 16:00:00,88.67
9/10/2019 16:00:00,86.83
9/11/2019 16:00:00,86.75
9/12/2019 16:00:00,87.67
9/13/2019 16:00:00,87.32
9/16/2019 16:00:00,87.27
9/17/2019 16:00:00,87.59
9/18/2019 16:00:00,88.08
9/19/2019 16:00:00,87.7
9/20/2019 16:00:00,86.68
9/23/2019 16:00:00,87.69
9/24/2019 16:00:00,87.18
9/25/2019 16:00:00,90.81
9/26/2019 16:00:00,92.17
9/27/2019 16:00:00,92.31
9/30/2019 16:00:00,93.92
10/1/2019 16:00:00,92.28
10/2/2019 16:00:00,91.49
10/3/2019 16:00:00,92.22
10/4/2019 16:00:00,93.07
10/7/2019 16:00:00,93.17
10/8/2019 16:00:00,91.75
10/9/2019 16:00:00,92.52
10/10/2019 16:00:00,93
10/11/2019 16:00:00,93.88
10/14/2019 16:00:00,94.88
10/15/2019 16:00:00,94.79
10/16/2019 16:00:00,94.88
10/17/2019 16:00:00,95.56
10/18/2019 16:00:00,96.1
10/21/2019 16:00:00,96.22
10/22/2019 16:00:00,95.6
10/23/2019 16:00:00,92.32
10/24/2019 16:00:00,91.5
10/25/2019 16:00:00,90.92
10/28/2019 16:00:00,90.85
10/29/2019 16:00:00,89.28
10/30/2019 16:00:00,90.19
10/31/2019 16:00:00,89.55
11/1/2019 16:00:00,89.18
11/4/2019 16:00:00,89.86
11/5/2019 16:00:00,89.88
11/6/2019 16:00:00,89.48
11/7/2019 16:00:00,90.4
11/8/2019 16:00:00,89.81
11/11/2019 16:00:00,90.05
11/12/2019 16:00:00,89.5
11/13/2019 16:00:00,91.29
11/14/2019 16:00:00,91.27
11/15/2019 16:00:00,93.04
11/18/2019 16:00:00,94.18
11/19/2019 16:00:00,93.61
11/20/2019 16:00:00,93.05
11/21/2019 16:00:00,92.16
11/22/2019 16:00:00,93.34
11/25/2019 16:00:00,92.9
11/26/2019 16:00:00,93.33
11/27/2019 16:00:00,94.14
11/29/2019 13:00:00,93.49
12/2/2019 16:00:00,93.56
12/3/2019 16:00:00,92.46
12/4/2019 16:00:00,93.72
12/5/2019 16:00:00,95.79
12/6/2019 16:00:00,97
12/9/2019 16:00:00,96.63
12/10/2019 16:00:00,97.01
12/11/2019 16:00:00,97.18
12/12/2019 16:00:00,97.72
12/13/2019 16:00:00,97.77
