Date, Close/Last, Volume, Open, High, Low
04/01/2020, $79.23, 9771306, $79.49, $81.18, $78.53
03/31/2020, $82.74, 9618581, $85.13, $85.73, $82.4
03/30/2020, $85.38, 10960130, $84, $85.96, $81.5
03/27/2020, $83.23, 14183380, $81.7, $85.74, $79.51
03/26/2020, $84.3, 17204690, $80.17, $86.86, $80.01
03/25/2020, $79.01, 27053250, $80.11, $83.4899, $76.2
03/24/2020, $72.33, 18849460, $65.7, $72.66, $64
03/23/2020, $62.8, 17690000, $65, $66.88, $60.58
03/20/2020, $67.45, 15761860, $71.51, $74.06, $67.2
03/19/2020, $70.34, 16177150, $67.04, $72.71, $64.15
03/18/2020, $68.04, 19498810, $64.79, $68.33, $60
03/17/2020, $69.84, 17122100, $67.51, $73.3299, $62.4
03/16/2020, $66.79, 17976680, $65.28, $72.97, $63.37
03/13/2020, $75.58, 21859580, $78.2, $78.2, $71.76
03/12/2020, $74.2, 21534810, $78.23, $78.49, $73
03/11/2020, $84, 16172670, $84, $84.625, $82.07
03/10/2020, $88.3, 12755880, $86.69, $88.4, $82.88
03/09/2020, $84.11, 13272740, $81.89, $86.74, $80.92
03/06/2020, $88.36, 12336710, $88.36, $89.39, $85.88
03/05/2020, $90.58, 8851096, $91.26, $91.68, $89.94
03/04/2020, $93.79, 6904443, $92.08, $93.82, $90.84
03/03/2020, $90.93, 14767610, $92.74, $94.98, $90.57
03/02/2020, $92.68, 14102050, $89.6, $93.14, $87.91
02/28/2020, $89.38, 16565660, $86.03, $89.47, $85.15
02/27/2020, $88.55, 12825660, $90, $93.06, $88.5
02/26/2020, $92, 9308916, $93.08, $94.65, $91.99
02/25/2020, $92.9, 9602121, $96.35, $96.76, $92.62
02/24/2020, $95.91, 8364218, $95.54, $97.07, $95.25
02/21/2020, $100.25, 5750854, $102, $102.08, $99.63
02/20/2020, $102.53, 6427606, $102.46, $102.63, $100.55
02/19/2020, $102.46, 6200501, $102.66, $103.39, $102.43
02/18/2020, $102, 4916709, $103, $103.38, $101.61
02/14/2020, $103.54, 4305480, $103.53, $103.89, $102.445
02/13/2020, $103.37, 5386913, $102.51, $103.74, $101.68
02/12/2020, $103, 8075612, $100.74, $103.08, $100.44
02/11/2020, $100.02, 4871893, $100.07, $100.35, $99.44
02/10/2020, $100.02, 4213929, $99.22, $100.51, $99
02/07/2020, $99.44, 4122035, $99.81, $100.4, $98.97
02/06/2020, $100.27, 5641823, $100.9, $101.53, $100.155
02/05/2020, $100.54, 6108309, $101.76, $101.97, $99.53
02/04/2020, $101.38, 6559561, $101.91, $102.78, $101.26
02/03/2020, $99.27, 9727690, $99, $100.92, $98.57
01/31/2020, $96.3, 8780345, $98.11, $98.45, $95.92
01/30/2020, $98.19, 7065065, $99.02, $99.75, $97.37
01/29/2020, $99.84, 4504110, $101.07, $101.3, $99.17
01/28/2020, $100.41, 5673193, $100.34, $101.05, $99.52
01/27/2020, $100.24, 9841427, $98.21, $100.71, $98.01
01/24/2020, $102.03, 3839278, $103.59, $103.89, $101.66
01/23/2020, $103.02, 7102868, $104.03, $104.37, $102.62
01/22/2020, $104.49, 5031401, $105, $105.62, $104.42
01/21/2020, $104.58, 4854693, $104.25, $104.69, $103.81
01/17/2020, $104.53, 6271369, $103.43, $104.55, $103.34
01/16/2020, $103.37, 6571710, $102.88, $103.57, $102.85
01/15/2020, $102.79, 4209191, $103.25, $103.6999, $102.475
01/14/2020, $102.92, 5088633, $102.45, $103.89, $102.35
